,t,nash_value,adversary_utility,agent_utility
0,1,8.811368640546483,10.0,7.764021731960597
1,2,6.97877147252344,10.0,4.870325126570698
2,3,7.0376908131721265,10.0,4.952909198180735
3,4,7.062194915438577,10.0,4.987459702364649
4,5,7.271895761689019,7.218975105647472,7.325204366960878
5,6,7.532477204545744,7.745615001939002,7.325204366960878
6,7,7.7488263800267605,8.196946768969145,7.325204366960878
